Loan_ID,Account_ID,Loan_Date,Loan_Amount,Duration,Payments,Status,Frequency,Account_Date,Client_ID,owner_count,user_count,is_joint_account,txn_count,active_days,Avg_Trans_Amount,Total_Trans_Amount,Avg_Balance,Balance_Volatility,Total_Credit,Total_Debit,Net_Cashflow,Order_Count,Total_Order_Amount,Avg_Order_Amount,card_count,has_card,gold_card_count,district_name,region,avg_salary,unemployment_rate_1,unemployment_rate_2,avg_unemployment_rate,entrepreneurs_per_1000,crimes_1,crimes_2
5576,2962,1994-12-21,31248,12,2604,A,"POPLATEK MESICNE",1993-05-30,3576,1,0,0,8,8,12278.5,98228,37666,16681.39,64428,33800,30628,1,2604.5,2604.5,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5739,3747,1995-01-02,76380,12,6365,A,"POPLATEK MESICNE",1994-05-01,4520,1,0,0,0,0,0,0,0,0,0,0,0,4,12081,3020.25,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5624,3166,1995-01-03,177744,48,3703,D,"POPLATEK MESICNE",1993-08-10,3829,1,0,0,1,1,1000,1000,1000,0,1000,0,1000,1,3702.800048828125,3702.8,1,1,0,"Novy Jicin","north Moravia",8678,5.93,5.57,5.749999914169312,102,4980,4595
5131,816,1995-01-08,48624,24,2026,A,"POPLATEK MESICNE",1993-08-05,980,1,0,0,2,2,8712.5,17425,8812.5,8612.5,17425,0,17425,2,6539.699951171875,3269.85,0,0,0,"Usti nad Orlici","east Bohemia",8363,2.52,3.49,3.004999990463257,108,2564,2799
5418,2245,1995-01-16,347952,48,7249,C,"POPLATEK MESICNE",1993-03-30,2719,1,0,0,11,11,13645.73,150103,38477.55,21618.45,92703,57400,35303,1,7248.7998046875,7248.8,0,0,0,Rokycany,"west Bohemia",8843,2.82,3.6,3.2099999666213987,113,818,888
5464,2419,1995-01-30,95808,12,7984,A,"POPLATEK MESICNE",1993-11-27,2922,1,0,0,0,0,0,0,0,0,0,0,0,1,7984.2998046875,7984.3,0,0,0,"Karlovy Vary","west Bohemia",8991,1.39,2.01,1.6999999928474425,128,5198,5273
5724,3678,1995-02-05,316140,60,5269,D,"POPLATEK MESICNE",1993-03-24,4433,1,0,0,18,16,4937.78,88880,24970.67,9947.06,55345,33535,21810,1,5269,5269,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5132,817,1995-02-17,538500,60,8975,C,"POPLATEK MESICNE",1994-03-18,981,1,0,0,0,0,0,0,0,0,0,0,0,2,13580,6790,0,0,0,Kolin,"central Bohemia",9307,3.85,4.43,4.139999952316284,118,2616,3040
5208,1247,1995-03-16,99696,48,2077,D,"POPLATEK MESICNE",1993-06-08,1505,1,0,0,3,3,5833.33,17500,9633.33,7098.04,17500,0,17500,1,2077,2077,0,0,0,Klatovy,"west Bohemia",8554,2.47,2.68,2.5750000143051146,113,1822,2218
5599,3064,1995-03-21,15420,12,1285,A,"POPLATEK MESICNE",1993-05-23,3705,1,0,0,9,9,4999.56,44996,21590.33,9483.73,36296,8700,27596,3,7454,2484.67,0,0,0,Teplice,"north Bohemia",9317,6.49,7.07,6.779999885559082,97,6949,6872
5414,2228,1995-03-29,185952,48,3874,C,"POPLATEK MESICNE",1994-03-19,2700,1,0,0,0,0,0,0,0,0,0,0,0,2,8498.699951171875,4249.35,0,0,0,Chomutov,"north Bohemia",9675,6.43,7.68,7.054999914169311,100,5323,5190
5453,2361,1995-04-01,156672,36,4352,A,"POPLATEK MESICNE",1994-02-25,2853,1,0,0,0,0,0,0,0,0,0,0,0,2,8965,4482.5,0,0,0,"Plzen - sever","west Bohemia",8594,1.62,2.01,1.8150000023841857,112,1580,1525
5740,3752,1995-04-02,18564,12,1547,A,"POPLATEK MESICNE",1994-11-25,4527,1,0,0,0,0,0,0,0,0,0,0,0,2,4765,2382.5,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5352,1993,1995-04-15,68400,12,5700,B,"POPLATEK MESICNE",1994-10-30,2422,1,0,0,0,0,0,0,0,0,0,0,0,1,5700.2998046875,5700.3,0,0,0,"Frydek - Mistek","north Moravia",9893,4.09,4.72,4.405000076293945,96,5623,5887
5310,1762,1995-04-28,248148,36,6893,A,"POPLATEK MESICNE",1993-12-11,2136,1,0,0,0,0,0,0,0,0,0,0,0,4,13070,3267.5,0,0,0,"Plzen - sever","west Bohemia",8594,1.62,2.01,1.8150000023841857,112,1580,1525
5045,347,1995-05-01,187224,24,7801,B,"POPLATEK MESICNE",1993-12-13,424,1,0,0,0,0,0,0,0,0,0,0,0,1,7801.2001953125,7801.2,0,0,0,Znojmo,"south Moravia",8403,5.74,5.72,5.7299998855590815,105,2157,2718
5151,960,1995-05-24,189060,60,3151,C,"POPLATEK PO OBRATU",1994-11-02,1157,1,0,0,0,0,0,0,0,0,0,0,0,2,9091,4545.5,1,1,0,Kladno,"central Bohemia",9753,4.64,5.05,4.844999933242798,109,5244,5892
5212,1256,1995-05-29,71064,36,1974,A,"POPLATEK MESICNE",1994-04-21,1516,1,0,0,0,0,0,0,0,0,0,0,0,3,8602,2867.33,0,0,0,Louny,"north Bohemia",8965,7.08,8.23,7.654999961853028,104,2653,2822
5138,854,1995-05-30,87216,48,1817,C,"POPLATEK MESICNE",1993-09-21,1029,1,0,0,0,0,0,0,0,0,0,0,0,4,6147,1536.75,0,0,0,"Uherske Hradiste","south Moravia",8544,1.29,1.86,1.5749999809265138,109,2719,2906
5713,3629,1995-05-30,158760,60,2646,C,"POPLATEK MESICNE",1993-07-27,4377,1,0,0,4,4,5272.5,21090,14959,8305.36,21090,0,21090,4,13649.5,3412.38,0,0,0,"Rychnov nad Kneznou","east Bohemia",9060,1.78,2.44,2.109999985694885,124,1655,1717
5693,3489,1995-08-01,44088,24,1837,A,"POPLATEK MESICNE",1994-12-08,4217,1,0,0,0,0,0,0,0,0,0,0,0,2,5210,2605,0,0,0,Nymburk,"central Bohemia",8899,3.39,3.97,3.6800000524520877,149,2987,2487
5237,1375,1995-08-29,45336,24,1889,A,"POPLATEK MESICNE",1994-04-27,1663,1,0,0,0,0,0,0,0,0,0,0,0,2,7819,3909.5,0,0,0,Prachatice,"south Bohemia",8402,3.13,3.98,3.555000057220459,120,999,1099
5145,915,1995-09-16,309552,48,6449,C,"POPLATEK MESICNE",1995-01-18,1102,1,0,0,0,0,0,0,0,0,0,0,0,2,20740,10370,0,0,0,Olomouc,"north Moravia",8994,3.8,4.79,4.294999976158142,110,9672,9208
5449,2343,1995-11-04,99336,24,4139,A,"POPLATEK MESICNE",1994-12-09,2831,1,0,0,0,0,0,0,0,0,0,0,0,2,8862,4431,0,0,0,"Frydek - Mistek","north Moravia",9893,4.09,4.72,4.405000076293945,96,5623,5887
5409,2218,1995-11-18,182040,60,3034,C,"POPLATEK MESICNE",1994-11-21,2686,1,0,1,0,0,0,0,0,0,0,0,0,1,3034,3034,1,1,0,Prachatice,"south Bohemia",8402,3.13,3.98,3.555000057220459,120,999,1099
5125,789,1995-11-23,73056,48,1522,C,"POPLATEK MESICNE",1995-02-06,944,1,0,1,0,0,0,0,0,0,0,0,0,3,5316,1772,0,0,0,Most,"north Bohemia",10446,7.34,9.4,8.370000076293945,90,4947,4743
5413,2227,1995-12-12,92976,24,3874,A,"POPLATEK TYDNE",1994-05-22,2698,1,0,1,0,0,0,0,0,0,0,0,0,2,17259.699951171875,8629.85,1,1,0,Tachov,"west Bohemia",8930,3.52,4.2,3.859999990463257,108,1328,1452
5160,1011,1995-12-18,204000,60,3400,C,"POPLATEK MESICNE",1994-12-17,1215,1,0,0,0,0,0,0,0,0,0,0,0,2,10485.5,5242.75,0,0,0,Jicin,"east Bohemia",8390,2.28,2.89,2.5849999856948855,132,2080,2122
5482,2496,1996-01-12,165120,60,2752,C,"POPLATEK MESICNE",1994-05-21,3013,1,0,1,0,0,0,0,0,0,0,0,0,2,7734,3867,0,0,0,Trutnov,"east Bohemia",8541,2.51,2.97,2.7399999952316287,131,3496,3839
5610,3112,1996-02-24,123216,48,2567,C,"POPLATEK MESICNE",1994-08-12,3763,1,0,1,0,0,0,0,0,0,0,0,0,3,5619.300048828125,1873.1,1,1,0,Louny,"north Bohemia",8965,7.08,8.23,7.654999961853028,104,2653,2822
5563,2912,1996-02-29,380160,60,6336,C,"POPLATEK MESICNE",1994-07-30,3519,1,0,0,0,0,0,0,0,0,0,0,0,1,6336,6336,1,1,0,"Ostrava - mesto","north Moravia",10673,4.75,5.44,5.095000000000001,100,18782,18347
5312,1772,1996-03-13,202788,36,5633,C,"POPLATEK TYDNE",1995-02-20,2148,1,0,0,0,0,0,0,0,0,0,0,0,2,17627,8813.5,0,0,0,Tachov,"west Bohemia",8930,3.52,4.2,3.859999990463257,108,1328,1452
5128,808,1996-04-11,215616,48,4492,D,"POPLATEK MESICNE",1995-06-13,968,1,0,0,0,0,0,0,0,0,0,0,0,1,4492,4492,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5470,2456,1996-04-15,200976,48,4187,C,"POPLATEK MESICNE",1995-09-09,2966,1,0,0,0,0,0,0,0,0,0,0,0,2,13741.2998046875,6870.65,0,0,0,Znojmo,"south Moravia",8403,5.74,5.72,5.7299998855590815,105,2157,2718
5593,3037,1996-04-18,277884,36,7719,D,"POPLATEK MESICNE",1994-05-26,3670,1,0,0,0,0,0,0,0,0,0,0,0,1,7718.7001953125,7718.7,0,0,0,Chrudim,"east Bohemia",8254,2.79,3.76,3.2749999809265136,97,2166,2325
5350,1967,1996-04-21,249312,48,5194,C,"POPLATEK TYDNE",1995-02-13,2392,1,0,0,0,0,0,0,0,0,0,0,0,2,19358,9679,0,0,0,"Plzen - mesto","west Bohemia",10787,2.64,3.09,2.8650000524520873,131,6041,6261
5452,2352,1996-04-29,49440,60,824,C,"POPLATEK MESICNE",1995-01-21,2843,1,0,0,0,0,0,0,0,0,0,0,0,4,6443,1610.75,0,0,0,Karvina,"north Moravia",10177,6.63,7.75,7.190000057220459,81,9878,10108
4961,19,1996-04-29,30276,12,2523,B,"POPLATEK MESICNE",1995-04-07,25,1,0,0,0,0,0,0,0,0,0,0,0,1,2523.199951171875,2523.2,0,0,0,Tabor,"south Bohemia",9104,1.51,2.07,1.7899999952316283,123,2299,2354
4973,67,1996-05-02,165960,24,6915,A,"POPLATEK MESICNE",1994-10-19,78,1,0,0,0,0,0,0,0,0,0,0,0,3,13753,4584.33,0,0,0,"Jindrichuv Hradec","south Bohemia",8427,1.12,1.54,1.3300000023841858,107,1874,1913
5706,3608,1996-05-24,161496,36,4486,C,"POPLATEK TYDNE",1994-08-30,4352,1,0,0,0,0,0,0,0,0,0,0,0,2,7610,3805,0,0,0,Olomouc,"north Moravia",8994,3.8,4.79,4.294999976158142,110,9672,9208
5148,940,1996-05-29,284280,60,4738,C,"POPLATEK MESICNE",1994-11-15,1133,1,0,1,0,0,0,0,0,0,0,0,0,1,4738,4738,1,1,1,Litomerice,"north Bohemia",9065,4.46,5.39,4.925000019073487,123,4147,4166
5494,2572,1996-06-13,360000,48,7500,C,"POPLATEK PO OBRATU",1994-11-13,3103,1,0,0,0,0,0,0,0,0,0,0,0,1,7500,7500,0,0,0,Zlin,"south Moravia",9624,1.6,2.31,1.955000011920929,145,4484,4265
5311,1766,1996-06-15,30060,60,501,C,"POPLATEK MESICNE",1994-09-03,2141,1,0,0,0,0,0,0,0,0,0,0,0,5,7336,1467.2,1,1,0,"Plzen - sever","west Bohemia",8594,1.62,2.01,1.8150000023841857,112,1580,1525
5445,2322,1996-06-29,46320,24,1930,A,"POPLATEK MESICNE",1995-01-02,2809,1,0,0,0,0,0,0,0,0,0,0,0,5,8610,1722,0,0,0,Decin,"north Bohemia",8705,5.75,7.61,6.68,116,4650,4859
5301,1698,1996-07-06,141948,36,3943,C,"POPLATEK MESICNE",1996-03-14,2063,1,0,0,0,0,0,0,0,0,0,0,0,2,13585,6792.5,1,1,0,"Frydek - Mistek","north Moravia",9893,4.09,4.72,4.405000076293945,96,5623,5887
5429,2268,1996-07-18,20196,36,561,C,"POPLATEK MESICNE",1995-02-11,2746,1,0,0,0,0,0,0,0,0,0,0,0,2,6303,3151.5,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5725,3679,1996-07-23,444864,48,9268,C,"POPLATEK MESICNE",1995-08-15,4434,1,0,1,0,0,0,0,0,0,0,0,0,3,18285,6095,0,0,0,Zlin,"south Moravia",9624,1.6,2.31,1.955000011920929,145,4484,4265
5136,846,1996-07-28,187104,24,7796,A,"POPLATEK MESICNE",1996-03-09,1020,1,0,0,0,0,0,0,0,0,0,0,0,1,7795.5,7795.5,1,1,0,Olomouc,"north Moravia",8994,3.8,4.79,4.294999976158142,110,9672,9208
5337,1886,1996-07-31,162468,36,4513,C,"POPLATEK MESICNE",1996-03-05,2288,1,0,1,0,0,0,0,0,0,0,0,0,2,8710.7001953125,4355.35,0,0,0,"Ceska Lipa","north Bohemia",9272,2.8,3.22,3.0099999761581424,118,4340,4505
5495,2580,1996-08-02,89340,60,1489,C,"POPLATEK MESICNE",1995-11-09,3113,1,0,1,0,0,0,0,0,0,0,0,0,2,6505,3252.5,0,0,0,Prostejov,"south Moravia",8441,3.45,4.48,3.965000023841858,115,1879,2252
5088,544,1996-08-22,91152,24,3798,A,"POPLATEK MESICNE",1995-05-15,655,1,0,0,0,0,0,0,0,0,0,0,0,1,3798.199951171875,3798.2,1,1,0,"Ceska Lipa","north Bohemia",9272,2.8,3.22,3.0099999761581424,118,4340,4505
5282,1583,1996-08-24,388512,48,8094,D,"POPLATEK PO OBRATU",1994-11-17,1917,1,0,0,0,0,0,0,0,0,0,0,0,1,8094.2001953125,8094.2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5606,3084,1996-08-28,253512,36,7042,D,"POPLATEK TYDNE",1996-01-28,3730,1,0,0,0,0,0,0,0,0,0,0,0,1,7042,7042,0,0,0,Kromeriz,"south Moravia",8444,3.24,3.47,3.355000004768372,106,2595,2305
5385,2143,1996-09-09,71460,36,1985,C,"POPLATEK MESICNE",1996-01-13,2592,1,0,1,0,0,0,0,0,0,0,0,0,2,9249,4624.5,1,1,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5586,2994,1996-09-14,48744,36,1354,C,"POPLATEK MESICNE",1996-05-03,3616,1,0,0,0,0,0,0,0,0,0,0,0,2,4571,2285.5,1,1,0,Vsetin,"north Moravia",8909,4.01,5.56,4.785000114440917,113,3460,3590
5415,2236,1996-09-26,139464,36,3874,D,"POPLATEK MESICNE",1995-08-27,2708,1,0,0,0,0,0,0,0,0,0,0,0,1,3873.699951171875,3873.7,0,0,0,Opava,"north Moravia",8746,3.33,3.74,3.5349999618530275,90,4355,4433
5375,2106,1996-10-03,101520,12,8460,A,"POPLATEK MESICNE",1996-02-01,2550,1,0,0,0,0,0,0,0,0,0,0,0,2,11928,5964,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5635,3230,1996-10-04,77184,36,2144,C,"POPLATEK MESICNE",1995-03-11,3907,1,0,0,0,0,0,0,0,0,0,0,0,1,2144,2144,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5329,1862,1996-10-16,396120,60,6602,C,"POPLATEK TYDNE",1995-04-15,2259,1,0,0,0,0,0,0,0,0,0,0,0,1,6601.7001953125,6601.7,1,1,0,Prachatice,"south Bohemia",8402,3.13,3.98,3.555000057220459,120,999,1099
5082,501,1996-10-24,262980,60,4383,C,"POPLATEK MESICNE",1995-10-21,603,1,0,0,0,0,0,0,0,0,0,0,0,1,4382.7001953125,4382.7,0,0,0,Rakovnik,"central Bohemia",8598,2.77,3.26,3.0149999904632567,123,1597,1875
5366,2062,1996-10-29,86184,12,7182,A,"POPLATEK MESICNE",1996-03-06,2501,1,0,0,0,0,0,0,0,0,0,0,0,3,10425.5,3475.17,1,1,0,Karvina,"north Moravia",10177,6.63,7.75,7.190000057220459,81,9878,10108
5741,3754,1996-11-03,68544,24,2856,A,"POPLATEK TYDNE",1996-02-19,4529,1,0,1,0,0,0,0,0,0,0,0,0,5,9829,1965.8,0,0,0,Litomerice,"north Bohemia",9065,4.46,5.39,4.925000019073487,123,4147,4166
4996,132,1996-11-06,88440,12,7370,A,"POPLATEK PO OBRATU",1996-05-11,158,1,0,1,0,0,0,0,0,0,0,0,0,1,7370.2001953125,7370.2,1,1,0,Teplice,"north Bohemia",9317,6.49,7.07,6.779999885559082,97,6949,6872
5611,3115,1996-11-15,321180,60,5353,C,"POPLATEK MESICNE",1996-03-27,3767,1,0,1,0,0,0,0,0,0,0,0,0,2,20076.2998046875,10038.15,0,0,0,"Ceske Budejovice","south Bohemia",10045,1.42,1.71,1.5649999785423279,135,6604,6295
5209,1250,1996-11-25,182640,48,3805,C,"POPLATEK MESICNE",1996-03-28,1509,1,0,0,0,0,0,0,0,0,0,0,0,3,13935.199951171875,4645.07,0,0,0,"Uherske Hradiste","south Moravia",8544,1.29,1.86,1.5749999809265138,109,2719,2906
5388,2153,1996-11-28,61560,12,5130,A,"POPLATEK TYDNE",1996-01-07,2606,1,0,0,0,0,0,0,0,0,0,0,0,4,19392.5,4848.12,1,1,0,Tachov,"west Bohemia",8930,3.52,4.2,3.859999990463257,108,1328,1452
5591,3021,1996-12-04,155616,48,3242,C,"POPLATEK MESICNE",1996-04-20,3649,1,0,0,0,0,0,0,0,0,0,0,0,1,3241.800048828125,3241.8,0,0,0,"Praha - vychod","central Bohemia",10124,0.56,0.54,0.5500000011920929,141,3810,4316
5625,3189,1996-12-15,222180,60,3703,D,"POPLATEK MESICNE",1995-11-29,3855,1,0,0,0,0,0,0,0,0,0,0,0,1,3702.800048828125,3702.8,0,0,0,Rokycany,"west Bohemia",8843,2.82,3.6,3.2099999666213987,113,818,888
5358,2018,1997-01-21,38520,12,3210,A,"POPLATEK MESICNE",1995-06-04,2451,1,0,0,0,0,0,0,0,0,0,0,0,2,6325,3162.5,0,0,0,"Havlickuv Brod","east Bohemia",8388,2.41,2.94,2.675000042915344,87,1658,1668
5134,825,1997-02-02,53076,12,4423,A,"POPLATEK MESICNE",1996-03-06,992,1,0,0,0,0,0,0,0,0,0,0,0,2,13658,6829,1,1,0,Prachatice,"south Bohemia",8402,3.13,3.98,3.555000057220459,120,999,1099
5419,2246,1997-02-05,415800,60,6930,C,"POPLATEK MESICNE",1996-04-25,2720,1,0,0,0,0,0,0,0,0,0,0,0,1,6930,6930,0,0,0,"Hl.m. Praha",Prague,12541,0.29,0.43,0.35999999582767483,167,85677,99107
5656,3353,1997-02-09,146064,24,6086,C,"POPLATEK MESICNE",1996-08-27,4055,1,0,0,0,0,0,0,0,0,0,0,0,4,17174.2001953125,4293.55,0,0,0,"Ostrava - mesto","north Moravia",10673,4.75,5.44,5.095000000000001,100,18782,18347
